deltaTimeS|cameraDistance|lod_level
0.01999999|10.04988|-1
0.01999999|10.04988|3
0.0506876|10.04988|3
0.012905|10.04988|3
0.1893765|10.04988|3
0.0100423|10.04988|3
0.0197176|10.04988|3
0.0113179|10.04988|3
0.0123893|10.04988|3
0.016662|10.04988|3
0.007923498|10.04988|3
0.0108932|10.04988|3
0.0110762|10.04988|3
0.011533|10.04988|3
0.0128928|10.04988|3
0.0102232|10.04988|3
0.0111931|10.04988|3
0.0111865|10.04988|3
0.0126655|10.04988|3
0.008163896|10.04988|3
0.008550297|10.04988|3
0.008665101|10.04988|3
0.008213903|10.04988|3
0.009272697|10.04988|3
0.008586805|10.04988|3
0.008852097|10.04988|3
0.0084803|10.04988|3
0.008623796|10.04988|3
0.009889102|10.04988|3
0.008336798|10.04988|3
0.008559106|10.04988|3
0.009914796|10.04988|3
0.008298201|10.04988|3
0.008898299|10.04988|3
0.0136617|10.04988|3
0.009306406|10.04988|3
0.008310197|10.04988|3
0.009487202|10.04988|3
0.0073402|10.04988|3
0.008953501|10.04988|3
0.008840696|10.04988|3
0.0088053|10.04988|3
0.007088102|10.04988|3
0.006990101|10.04988|3
0.005112897|10.04988|3
0.006419105|10.04988|3
0.0065804|10.04988|3
0.006946294|10.04988|3
0.0063178|10.04988|3
0.01999999|10.04988|3
0.01999999|10.04988|3
0.0071821|10.04988|3
0.005172803|10.04988|3
0.006095599|10.04988|3
0.011043|10.04988|3
0.0935993|10.04988|3
0.0135201|10.04988|3
0.0113804|10.04988|3
0.01999999|10.04988|3
0.01999999|10.04988|3
0.0271964|10.04988|3
0.005361501|10.04988|3
0.004958199|10.04988|3
0.005798101|10.04988|3
0.006337195|10.04988|3
0.006169402|10.04988|3
0.006070004|10.04988|3
0.007410898|10.04988|3
0.0067562|10.04988|3
0.005075801|10.04988|3
0.008485494|10.04988|3
0.005856201|10.04988|3
0.004550099|10.04988|3
0.005567602|10.04988|3
0.005166504|10.04988|3
0.005486395|10.04988|3
0.005461005|10.04988|3
0.005528898|10.04988|3
0.005714002|10.04988|3
0.005542099|10.04988|3
0.0048214|10.04988|3
0.0058384|10.04988|3
0.006012401|10.04988|3
0.005467298|10.04988|3
0.005403302|10.04988|3
0.004434602|10.04988|3
0.0157952|10.04988|3
0.0044777|10.04988|3
0.005998802|10.04988|3
0.005164598|10.04988|3
0.005042801|10.04988|3
0.005122003|10.04988|3
0.004112897|10.04988|3
0.003958305|10.04988|3
0.004893197|10.04988|3
0.004833|10.04988|3
0.004369699|10.04988|3
0.003955003|10.04988|3
0.004354096|10.04988|3
0.006660098|10.04988|3
0.004712805|10.04988|3
0.004362301|10.04988|3
0.006294296|10.04988|3
0.005925|10.04988|3
0.005533801|10.04988|3
0.004579797|10.04988|3
0.0047241|10.04988|3
0.004024405|10.04988|3
0.004359297|10.04988|3
0.004145599|10.04988|3
0.004484503|10.04988|3
0.0044581|10.04988|3
0.004443098|10.04988|3
0.004842999|10.04988|3
0.004494806|10.04988|3
0.004391794|10.04988|3
0.003986005|10.04988|3
0.004238896|10.04988|3
0.004208199|10.04988|3
0.0046285|10.04988|3
0.004124504|10.04988|3
