deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0199999900;1004988,000;(0,00, 1,00, -10,00);;9000,004;;min;0,0036561010;273,5154198;;;;;;
0,0199999900;10,050;(0,00, 1,00, -10,00);;0;;avg;0,006803192;146,989834;;;;;;
0,0339111900;10,050;(0,00, 1,00, -10,00);;0;;max;0,1223986000;8,170028089;;;;;;
0,0121832100;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,1223986000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0090808040;10,050;(0,00, 1,00, -10,00);;0;;;;;(cameraDistance <= 1);(cameraDistance > 1);;;;
0,0189801000;10,050;(0,00, 1,00, -10,00);;0;;;cameraIDLE fps;camera moving fps;camera close;camera far;rotationIDLE fps;rotatingfps;rotating and moving;
0,0120486000;10,050;(0,00, 1,00, -10,00);;0;;min;;;;;8,170028089;50,000025;;
0,0115482000;10,050;(0,00, 1,00, -10,00);;0;;avg;;;;;150,5280514;141,3466855;;
0,0120833000;10,050;(0,00, 1,00, -10,00);;0;;max;;;;;273,5154198;243,0605602;;
0,0116770000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0118963000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0119067000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0105696000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0104138000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0103657000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0176367000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0101118000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0100727000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0107295000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0099069020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0105684000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0099988940;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0104991000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0101642000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0104967000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0102252000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0105280000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0104213000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0106393000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0100814000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0048968040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078456990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0072200960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0076337020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070424040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0071101970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067187990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0083032030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064358990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078660010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0440304000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0094990000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0087009000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065821000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0072665960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063480020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077745040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077234980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0068564980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078496030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0058630950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059790040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
